Date,Region,Product,Unit,Price
2017-06-01,Cuyo,Huevos de gallina,Docena,35.84
2017-06-01,Cuyo,Papa,kg,13.01
2017-06-01,Cuyo,Azúcar,kg,17.86
2017-06-01,Cuyo,Detergente líquido,750 cc,21.91
2017-06-01,Cuyo,Lavandina,1.000 cc,14.23
2017-06-01,Cuyo,Jabón de tocador,125 g,14.21
2017-06-01,Patagonia,Pan francés,kg,38.43
2017-06-01,Patagonia,Harina de trigo común,kg,12.14
2017-06-01,Patagonia,Arroz blanco simple,kg,25.82
2017-06-01,Patagonia,Fideos secos tipo guisero,500 g,20.68
2017-06-01,Patagonia,Carne picada común,kg,91.12
2017-06-01,Patagonia,Pollo entero,kg,42.98
2017-06-01,Patagonia,Aceite de girasol,"1,5 litros",50.31
2017-06-01,Patagonia,Leche fresca entera sachet,Litro,23.82
2017-06-01,Patagonia,Huevos de gallina,Docena,43.34
2017-06-01,Patagonia,Papa,kg,19.44
2017-06-01,Patagonia,Azúcar,kg,21.34
2017-06-01,Patagonia,Detergente líquido,750 cc,34.48
2017-06-01,Patagonia,Lavandina,1.000 cc,16.2
2017-06-01,Patagonia,Jabón de tocador,125 g,15.09
2017-07-01,GBA,Pan francés,kg,39.12
2017-07-01,GBA,Harina de trigo común,kg,10.61
2017-07-01,GBA,Arroz blanco simple,kg,21.08
2017-07-01,GBA,Fideos secos tipo guisero,500 g,19.53
2017-07-01,GBA,Carne picada común,kg,72.71
2017-07-01,GBA,Pollo entero,kg,35.51
2017-07-01,GBA,Aceite de girasol,"1,5 litros",51.35
2017-07-01,GBA,Leche fresca entera sachet,Litro,21.53
2017-07-01,GBA,Huevos de gallina,Docena,33.54
2017-07-01,GBA,Papa,kg,14.48
2017-07-01,GBA,Azúcar,kg,19.37
2017-07-01,GBA,Detergente líquido,750 cc,19.84
2017-07-01,GBA,Lavandina,1.000 cc,15.62
2017-07-01,GBA,Jabón de tocador,125 g,14.12
2017-07-01,Pampeana,Pan francés,kg,31.93
2017-07-01,Pampeana,Harina de trigo común,kg,11.17
2017-07-01,Pampeana,Arroz blanco simple,kg,21.22
2017-07-01,Pampeana,Fideos secos tipo guisero,500 g,17.22
2017-07-01,Pampeana,Carne picada común,kg,77.33
2017-07-01,Pampeana,Pollo entero,kg,37.44
2017-07-01,Pampeana,Aceite de girasol,"1,5 litros",53.57
2017-07-01,Pampeana,Leche fresca entera sachet,Litro,23.42
2017-07-01,Pampeana,Huevos de gallina,Docena,33.05
2017-07-01,Pampeana,Papa,kg,13.93
2017-07-01,Pampeana,Azúcar,kg,18.94
2017-07-01,Pampeana,Detergente líquido,750 cc,22.2
2017-07-01,Pampeana,Lavandina,1.000 cc,14.59
2017-07-01,Pampeana,Jabón de tocador,125 g,14.45
2017-07-01,Noreste,Pan francés,kg,28.99
2017-07-01,Noreste,Harina de trigo común,kg,11.05
2017-07-01,Noreste,Arroz blanco simple,kg,20.32
2017-07-01,Noreste,Fideos secos tipo guisero,500 g,14.34
2017-07-01,Noreste,Carne picada común,kg,70.58
2017-07-01,Noreste,Pollo entero,kg,36.99
2017-07-01,Noreste,Aceite de girasol,"1,5 litros",51.05
2017-07-01,Noreste,Leche fresca entera sachet,Litro,23.27
2017-07-01,Noreste,Huevos de gallina,Docena,29.27
2017-07-01,Noreste,Papa,kg,12.56
2017-07-01,Noreste,Azúcar,kg,17.99
2017-07-01,Noreste,Detergente líquido,750 cc,20.53
2017-07-01,Noreste,Lavandina,1.000 cc,15.96
2017-07-01,Noreste,Jabón de tocador,125 g,14.21
2017-07-01,Noroeste,Pan francés,kg,33.1
2017-07-01,Noroeste,Harina de trigo común,kg,10.55
2017-07-01,Noroeste,Arroz blanco simple,kg,18.63
2017-07-01,Noroeste,Fideos secos tipo guisero,500 g,13.62
2017-07-01,Noroeste,Carne picada común,kg,82.23
2017-07-01,Noroeste,Pollo entero,kg,36.91
2017-07-01,Noroeste,Aceite de girasol,"1,5 litros",52.13
2017-07-01,Noroeste,Leche fresca entera sachet,Litro,22.53
2017-07-01,Noroeste,Huevos de gallina,Docena,30.32
2017-07-01,Noroeste,Papa,kg,10.82
2017-07-01,Noroeste,Azúcar,kg,16.53
2017-07-01,Noroeste,Detergente líquido,750 cc,23.57
2017-07-01,Noroeste,Lavandina,1.000 cc,14.95
2017-07-01,Noroeste,Jabón de tocador,125 g,14.73
2017-07-01,Cuyo,Pan francés,kg,28.34
2017-07-01,Cuyo,Harina de trigo común,kg,10.28
2017-07-01,Cuyo,Arroz blanco simple,kg,18.86
2017-07-01,Cuyo,Fideos secos tipo guisero,500 g,17.92
2017-07-01,Cuyo,Carne picada común,kg,73.7
2017-07-01,Cuyo,Pollo entero,kg,36.16
2017-07-01,Cuyo,Aceite de girasol,"1,5 litros",49.07
2017-07-01,Cuyo,Leche fresca entera sachet,Litro,23.95
2017-07-01,Cuyo,Huevos de gallina,Docena,36.04
2017-07-01,Cuyo,Papa,kg,12.83
2017-07-01,Cuyo,Azúcar,kg,18.13
2017-07-01,Cuyo,Detergente líquido,750 cc,22.11
2017-07-01,Cuyo,Lavandina,1.000 cc,14.61
2017-07-01,Cuyo,Jabón de tocador,125 g,14.25
2017-07-01,Patagonia,Pan francés,kg,38.68
2017-07-01,Patagonia,Harina de trigo común,kg,11.79
2017-07-01,Patagonia,Arroz blanco simple,kg,26.33
2017-07-01,Patagonia,Fideos secos tipo guisero,500 g,21.02
2017-07-01,Patagonia,Carne picada común,kg,91.64
2017-07-01,Patagonia,Pollo entero,kg,43.04
2017-07-01,Patagonia,Aceite de girasol,"1,5 litros",50.25
2017-07-01,Patagonia,Leche fresca entera sachet,Litro,24.36
2017-07-01,Patagonia,Huevos de gallina,Docena,43.78
2017-07-01,Patagonia,Papa,kg,18.95
2017-07-01,Patagonia,Azúcar,kg,21.38
2017-07-01,Patagonia,Detergente líquido,750 cc,34.91
2017-07-01,Patagonia,Lavandina,1.000 cc,16.21
2017-07-01,Patagonia,Jabón de tocador,125 g,15.3
2017-08-01,GBA,Pan francés,kg,39.43
2017-08-01,GBA,Harina de trigo común,kg,10.65
2017-08-01,GBA,Arroz blanco simple,kg,21.25
2017-08-01,GBA,Fideos secos tipo guisero,500 g,19.73
2017-08-01,GBA,Carne picada común,kg,73.4
2017-08-01,GBA,Pollo entero,kg,36.21
2017-08-01,GBA,Aceite de girasol,"1,5 litros",52.35
2017-08-01,GBA,Leche fresca entera sachet,Litro,21.72
2017-08-01,GBA,Huevos de gallina,Docena,33.63
2017-08-01,GBA,Papa,kg,14.35
2017-08-01,GBA,Azúcar,kg,19.58
2017-08-01,GBA,Detergente líquido,750 cc,20.1
2017-08-01,GBA,Lavandina,1.000 cc,15.64
2017-08-01,GBA,Jabón de tocador,125 g,14.24
2017-08-01,Pampeana,Pan francés,kg,32.32
2017-08-01,Pampeana,Harina de trigo común,kg,11.19
2017-08-01,Pampeana,Arroz blanco simple,kg,21.76
2017-08-01,Pampeana,Fideos secos tipo guisero,500 g,17.79
2017-08-01,Pampeana,Carne picada común,kg,77.0
2017-08-01,Pampeana,Pollo entero,kg,38.37
2017-08-01,Pampeana,Aceite de girasol,"1,5 litros",54.91
2017-08-01,Pampeana,Leche fresca entera sachet,Litro,23.58
2017-08-01,Pampeana,Huevos de gallina,Docena,33.4
2017-08-01,Pampeana,Papa,kg,14.26
2017-08-01,Pampeana,Azúcar,kg,19.21
2017-08-01,Pampeana,Detergente líquido,750 cc,22.47
2017-08-01,Pampeana,Lavandina,1.000 cc,14.84
2017-08-01,Pampeana,Jabón de tocador,125 g,14.68
2017-08-01,Noreste,Pan francés,kg,29.07
2017-08-01,Noreste,Harina de trigo común,kg,10.94
2017-08-01,Noreste,Arroz blanco simple,kg,20.37
2017-08-01,Noreste,Fideos secos tipo guisero,500 g,14.57
2017-08-01,Noreste,Carne picada común,kg,72.24
2017-08-01,Noreste,Pollo entero,kg,37.29
2017-08-01,Noreste,Aceite de girasol,"1,5 litros",53.34
2017-08-01,Noreste,Leche fresca entera sachet,Litro,23.25
2017-08-01,Noreste,Huevos de gallina,Docena,29.27
2017-08-01,Noreste,Papa,kg,13.23
2017-08-01,Noreste,Azúcar,kg,18.01
2017-08-01,Noreste,Detergente líquido,750 cc,20.67
2017-08-01,Noreste,Lavandina,1.000 cc,15.81
2017-08-01,Noreste,Jabón de tocador,125 g,14.49
2017-08-01,Noroeste,Pan francés,kg,33.25
2017-08-01,Noroeste,Harina de trigo común,kg,10.59
2017-08-01,Noroeste,Arroz blanco simple,kg,19.16
2017-08-01,Noroeste,Fideos secos tipo guisero,500 g,13.78
2017-08-01,Noroeste,Carne picada común,kg,82.43
2017-08-01,Noroeste,Pollo entero,kg,37.48
2017-08-01,Noroeste,Aceite de girasol,"1,5 litros",52.96
2017-08-01,Noroeste,Leche fresca entera sachet,Litro,22.58
2017-08-01,Noroeste,Huevos de gallina,Docena,30.47
2017-08-01,Noroeste,Papa,kg,11.21
2017-08-01,Noroeste,Azúcar,kg,16.54
2017-08-01,Noroeste,Detergente líquido,750 cc,23.92
2017-08-01,Noroeste,Lavandina,1.000 cc,15.18
2017-08-01,Noroeste,Jabón de tocador,125 g,15.05
2017-08-01,Cuyo,Pan francés,kg,28.82
2017-08-01,Cuyo,Harina de trigo común,kg,10.46
2017-08-01,Cuyo,Arroz blanco simple,kg,19.27
2017-08-01,Cuyo,Fideos secos tipo guisero,500 g,18.54
2017-08-01,Cuyo,Carne picada común,kg,73.72
2017-08-01,Cuyo,Pollo entero,kg,36.91
2017-08-01,Cuyo,Aceite de girasol,"1,5 litros",49.39
2017-08-01,Cuyo,Leche fresca entera sachet,Litro,24.04
2017-08-01,Cuyo,Huevos de gallina,Docena,35.29
2017-08-01,Cuyo,Papa,kg,12.98
2017-08-01,Cuyo,Azúcar,kg,18.29
2017-08-01,Cuyo,Detergente líquido,750 cc,22.15
2017-08-01,Cuyo,Lavandina,1.000 cc,14.59
2017-08-01,Cuyo,Jabón de tocador,125 g,14.78
2017-08-01,Patagonia,Pan francés,kg,38.84
2017-08-01,Patagonia,Harina de trigo común,kg,11.75
2017-08-01,Patagonia,Arroz blanco simple,kg,26.49
2017-08-01,Patagonia,Fideos secos tipo guisero,500 g,21.32
2017-08-01,Patagonia,Carne picada común,kg,92.76
2017-08-01,Patagonia,Pollo entero,kg,43.33
2017-08-01,Patagonia,Aceite de girasol,"1,5 litros",51.17
2017-08-01,Patagonia,Leche fresca entera sachet,Litro,24.53
2017-08-01,Patagonia,Huevos de gallina,Docena,44.34
2017-08-01,Patagonia,Papa,kg,19.55
2017-08-01,Patagonia,Azúcar,kg,21.52
2017-08-01,Patagonia,Detergente líquido,750 cc,35.98
2017-08-01,Patagonia,Lavandina,1.000 cc,16.57
2017-08-01,Patagonia,Jabón de tocador,125 g,15.6
2017-09-01,GBA,Pan francés,kg,39.71
2017-09-01,GBA,Harina de trigo común,kg,10.66
2017-09-01,GBA,Arroz blanco simple,kg,21.49
2017-09-01,GBA,Fideos secos tipo guisero,500 g,19.86
2017-09-01,GBA,Carne picada común,kg,73.28
2017-09-01,GBA,Pollo entero,kg,38.57
2017-09-01,GBA,Aceite de girasol,"1,5 litros",54.09
2017-09-01,GBA,Leche fresca entera sachet,Litro,21.81
2017-09-01,GBA,Huevos de gallina,Docena,33.7
2017-09-01,GBA,Papa,kg,14.37
2017-09-01,GBA,Azúcar,kg,19.78
2017-09-01,GBA,Detergente líquido,750 cc,20.08
2017-09-01,GBA,Lavandina,1.000 cc,15.96
2017-09-01,GBA,Jabón de tocador,125 g,14.51
2017-09-01,Pampeana,Pan francés,kg,32.62
2017-09-01,Pampeana,Harina de trigo común,kg,11.25
2017-09-01,Pampeana,Arroz blanco simple,kg,21.97
2017-09-01,Pampeana,Fideos secos tipo guisero,500 g,18.01
2017-09-01,Pampeana,Carne picada común,kg,77.31
2017-09-01,Pampeana,Pollo entero,kg,40.54
2017-09-01,Pampeana,Aceite de girasol,"1,5 litros",55.8
2017-09-01,Pampeana,Leche fresca entera sachet,Litro,23.53
2017-09-01,Pampeana,Huevos de gallina,Docena,33.11
2017-09-01,Pampeana,Papa,kg,14.53
2017-09-01,Pampeana,Azúcar,kg,19.45
2017-09-01,Pampeana,Detergente líquido,750 cc,22.38
2017-09-01,Pampeana,Lavandina,1.000 cc,15.06
2017-09-01,Pampeana,Jabón de tocador,125 g,14.82
2017-09-01,Noreste,Pan francés,kg,29.4
2017-09-01,Noreste,Harina de trigo común,kg,11.06
2017-09-01,Noreste,Arroz blanco simple,kg,20.07
2017-09-01,Noreste,Fideos secos tipo guisero,500 g,14.7
2017-09-01,Noreste,Carne picada común,kg,74.83
2017-09-01,Noreste,Pollo entero,kg,39.05
2017-09-01,Noreste,Aceite de girasol,"1,5 litros",54.33
2017-09-01,Noreste,Leche fresca entera sachet,Litro,23.39
2017-09-01,Noreste,Huevos de gallina,Docena,29.32
2017-09-01,Noreste,Papa,kg,13.51
2017-09-01,Noreste,Azúcar,kg,18.37
2017-09-01,Noreste,Detergente líquido,750 cc,20.34
2017-09-01,Noreste,Lavandina,1.000 cc,15.77
2017-09-01,Noreste,Jabón de tocador,125 g,14.79
2017-09-01,Noroeste,Pan francés,kg,33.24
2017-09-01,Noroeste,Harina de trigo común,kg,10.7
2017-09-01,Noroeste,Arroz blanco simple,kg,19.41
2017-09-01,Noroeste,Fideos secos tipo guisero,500 g,13.89
2017-09-01,Noroeste,Carne picada común,kg,84.05
2017-09-01,Noroeste,Pollo entero,kg,39.69
2017-09-01,Noroeste,Aceite de girasol,"1,5 litros",53.8
2017-09-01,Noroeste,Leche fresca entera sachet,Litro,22.89
2017-09-01,Noroeste,Huevos de gallina,Docena,30.54
2017-09-01,Noroeste,Papa,kg,11.47
2017-09-01,Noroeste,Azúcar,kg,16.64
2017-09-01,Noroeste,Detergente líquido,750 cc,23.91
2017-09-01,Noroeste,Lavandina,1.000 cc,15.43
2017-09-01,Noroeste,Jabón de tocador,125 g,15.24
2017-09-01,Cuyo,Pan francés,kg,28.99
2017-09-01,Cuyo,Harina de trigo común,kg,10.49
2017-09-01,Cuyo,Arroz blanco simple,kg,19.13
2017-09-01,Cuyo,Fideos secos tipo guisero,500 g,18.81
2017-09-01,Cuyo,Carne picada común,kg,74.82
2017-09-01,Cuyo,Pollo entero,kg,39.39
2017-09-01,Cuyo,Aceite de girasol,"1,5 litros",51.16
2017-09-01,Cuyo,Leche fresca entera sachet,Litro,23.85
2017-09-01,Cuyo,Huevos de gallina,Docena,35.95
2017-09-01,Cuyo,Papa,kg,13.28
2017-09-01,Cuyo,Azúcar,kg,18.69
2017-09-01,Cuyo,Detergente líquido,750 cc,21.4
2017-09-01,Cuyo,Lavandina,1.000 cc,15.11
2017-09-01,Cuyo,Jabón de tocador,125 g,14.89
2017-09-01,Patagonia,Pan francés,kg,39.49
2017-09-01,Patagonia,Harina de trigo común,kg,12.06
2017-09-01,Patagonia,Arroz blanco simple,kg,26.52
2017-09-01,Patagonia,Fideos secos tipo guisero,500 g,20.98
2017-09-01,Patagonia,Carne picada común,kg,94.13
2017-09-01,Patagonia,Pollo entero,kg,44.73
2017-09-01,Patagonia,Aceite de girasol,"1,5 litros",51.64
2017-09-01,Patagonia,Leche fresca entera sachet,Litro,25.08
2017-09-01,Patagonia,Huevos de gallina,Docena,43.75
2017-09-01,Patagonia,Papa,kg,19.71
2017-09-01,Patagonia,Azúcar,kg,21.72
2017-09-01,Patagonia,Detergente líquido,750 cc,34.89
2017-09-01,Patagonia,Lavandina,1.000 cc,17.14
2017-09-01,Patagonia,Jabón de tocador,125 g,15.58
2017-10-01,GBA,Pan francés,kg,39.89
2017-10-01,GBA,Harina de trigo común,kg,10.61
2017-10-01,GBA,Arroz blanco simple,kg,21.74
2017-10-01,GBA,Fideos secos tipo guisero,500 g,20.13
2017-10-01,GBA,Carne picada común,kg,73.75
2017-10-01,GBA,Pollo entero,kg,39.3
2017-10-01,GBA,Aceite de girasol,"1,5 litros",54.68
2017-10-01,GBA,Leche fresca entera sachet,Litro,21.95
2017-10-01,GBA,Huevos de gallina,Docena,33.93
2017-10-01,GBA,Papa,kg,15.34
2017-10-01,GBA,Azúcar,kg,20.12
2017-10-01,GBA,Detergente líquido,750 cc,20.55
2017-10-01,GBA,Lavandina,1.000 cc,16.13
2017-10-01,GBA,Jabón de tocador,125 g,14.6
2017-10-01,Pampeana,Pan francés,kg,33.03
2017-10-01,Pampeana,Harina de trigo común,kg,11.35
2017-10-01,Pampeana,Arroz blanco simple,kg,21.92
2017-10-01,Pampeana,Fideos secos tipo guisero,500 g,18.07
2017-10-01,Pampeana,Carne picada común,kg,78.34
2017-10-01,Pampeana,Pollo entero,kg,40.9
2017-10-01,Pampeana,Aceite de girasol,"1,5 litros",55.93
2017-10-01,Pampeana,Leche fresca entera sachet,Litro,23.64
2017-10-01,Pampeana,Huevos de gallina,Docena,33.28
2017-10-01,Pampeana,Papa,kg,14.92
2017-10-01,Pampeana,Azúcar,kg,19.73
2017-10-01,Pampeana,Detergente líquido,750 cc,22.53
2017-10-01,Pampeana,Lavandina,1.000 cc,15.11
2017-10-01,Pampeana,Jabón de tocador,125 g,14.95
2017-10-01,Noreste,Pan francés,kg,29.38
2017-10-01,Noreste,Harina de trigo común,kg,11.1
2017-10-01,Noreste,Arroz blanco simple,kg,20.32
2017-10-01,Noreste,Fideos secos tipo guisero,500 g,15.19
2017-10-01,Noreste,Carne picada común,kg,76.78
2017-10-01,Noreste,Pollo entero,kg,39.39
2017-10-01,Noreste,Aceite de girasol,"1,5 litros",55.78
2017-10-01,Noreste,Leche fresca entera sachet,Litro,23.82
2017-10-01,Noreste,Huevos de gallina,Docena,29.07
2017-10-01,Noreste,Papa,kg,13.6
2017-10-01,Noreste,Azúcar,kg,18.72
2017-10-01,Noreste,Detergente líquido,750 cc,19.88
2017-10-01,Noreste,Lavandina,1.000 cc,16.09
2017-10-01,Noreste,Jabón de tocador,125 g,14.88
2017-10-01,Noroeste,Pan francés,kg,33.57
2017-10-01,Noroeste,Harina de trigo común,kg,10.85
2017-10-01,Noroeste,Arroz blanco simple,kg,19.74
2017-10-01,Noroeste,Fideos secos tipo guisero,500 g,13.93
2017-10-01,Noroeste,Carne picada común,kg,84.82
2017-10-01,Noroeste,Pollo entero,kg,40.48
2017-10-01,Noroeste,Aceite de girasol,"1,5 litros",54.7
2017-10-01,Noroeste,Leche fresca entera sachet,Litro,22.76
2017-10-01,Noroeste,Huevos de gallina,Docena,30.81
2017-10-01,Noroeste,Papa,kg,11.55
2017-10-01,Noroeste,Azúcar,kg,16.87
2017-10-01,Noroeste,Detergente líquido,750 cc,24.34
2017-10-01,Noroeste,Lavandina,1.000 cc,15.74
2017-10-01,Noroeste,Jabón de tocador,125 g,15.31
2017-10-01,Cuyo,Pan francés,kg,29.35
2017-10-01,Cuyo,Harina de trigo común,kg,10.58
2017-10-01,Cuyo,Arroz blanco simple,kg,19.6
2017-10-01,Cuyo,Fideos secos tipo guisero,500 g,18.85
2017-10-01,Cuyo,Carne picada común,kg,73.88
2017-10-01,Cuyo,Pollo entero,kg,40.0
2017-10-01,Cuyo,Aceite de girasol,"1,5 litros",51.56
2017-10-01,Cuyo,Leche fresca entera sachet,Litro,24.06
2017-10-01,Cuyo,Huevos de gallina,Docena,35.41
2017-10-01,Cuyo,Papa,kg,14.12
2017-10-01,Cuyo,Azúcar,kg,19.01
2017-10-01,Cuyo,Detergente líquido,750 cc,22.21
2017-10-01,Cuyo,Lavandina,1.000 cc,15.41
2017-10-01,Cuyo,Jabón de tocador,125 g,14.99
2017-10-01,Patagonia,Pan francés,kg,39.88
2017-10-01,Patagonia,Harina de trigo común,kg,12.24
2017-10-01,Patagonia,Arroz blanco simple,kg,27.16
2017-10-01,Patagonia,Fideos secos tipo guisero,500 g,21.32
2017-10-01,Patagonia,Carne picada común,kg,96.01
2017-10-01,Patagonia,Pollo entero,kg,44.73
2017-10-01,Patagonia,Aceite de girasol,"1,5 litros",53.71
2017-10-01,Patagonia,Leche fresca entera sachet,Litro,25.03
2017-10-01,Patagonia,Huevos de gallina,Docena,43.7
2017-10-01,Patagonia,Papa,kg,20.55
2017-10-01,Patagonia,Azúcar,kg,22.24
2017-10-01,Patagonia,Detergente líquido,750 cc,35.51
2017-10-01,Patagonia,Lavandina,1.000 cc,17.65
2017-10-01,Patagonia,Jabón de tocador,125 g,15.68
2017-11-01,GBA,Pan francés,kg,40.24
2017-11-01,GBA,Harina de trigo común,kg,10.81
2017-11-01,GBA,Arroz blanco simple,kg,21.74
2017-11-01,GBA,Fideos secos tipo guisero,500 g,20.34
2017-11-01,GBA,Carne picada común,kg,73.83
2017-11-01,GBA,Pollo entero,kg,38.19
2017-11-01,GBA,Aceite de girasol,"1,5 litros",55.11
2017-11-01,GBA,Leche fresca entera sachet,Litro,22.63
2017-11-01,GBA,Huevos de gallina,Docena,33.99
2017-11-01,GBA,Papa,kg,18.7
2017-11-01,GBA,Azúcar,kg,20.7
2017-11-01,GBA,Detergente líquido,750 cc,20.77
2017-11-01,GBA,Lavandina,1.000 cc,16.31
2017-11-01,GBA,Jabón de tocador,125 g,14.92
2017-11-01,Pampeana,Pan francés,kg,33.31
2017-11-01,Pampeana,Harina de trigo común,kg,11.44
2017-11-01,Pampeana,Arroz blanco simple,kg,21.99
2017-11-01,Pampeana,Fideos secos tipo guisero,500 g,18.43
2017-11-01,Pampeana,Carne picada común,kg,77.68
2017-11-01,Pampeana,Pollo entero,kg,40.06
2017-11-01,Pampeana,Aceite de girasol,"1,5 litros",55.87
2017-11-01,Pampeana,Leche fresca entera sachet,Litro,24.18
2017-11-01,Pampeana,Huevos de gallina,Docena,33.36
2017-11-01,Pampeana,Papa,kg,18.05
2017-11-01,Pampeana,Azúcar,kg,20.51
2017-11-01,Pampeana,Detergente líquido,750 cc,22.75
2017-11-01,Pampeana,Lavandina,1.000 cc,15.4
2017-11-01,Pampeana,Jabón de tocador,125 g,15.18
2017-11-01,Noreste,Pan francés,kg,29.53
2017-11-01,Noreste,Harina de trigo común,kg,11.08
2017-11-01,Noreste,Arroz blanco simple,kg,20.48
2017-11-01,Noreste,Fideos secos tipo guisero,500 g,15.25
2017-11-01,Noreste,Carne picada común,kg,76.74
2017-11-01,Noreste,Pollo entero,kg,38.98
2017-11-01,Noreste,Aceite de girasol,"1,5 litros",58.11
2017-11-01,Noreste,Leche fresca entera sachet,Litro,24.25
2017-11-01,Noreste,Huevos de gallina,Docena,29.36
2017-11-01,Noreste,Papa,kg,15.94
2017-11-01,Noreste,Azúcar,kg,19.21
2017-11-01,Noreste,Detergente líquido,750 cc,20.05
2017-11-01,Noreste,Lavandina,1.000 cc,16.19
2017-11-01,Noreste,Jabón de tocador,125 g,14.91
2017-11-01,Noroeste,Pan francés,kg,33.55
2017-11-01,Noroeste,Harina de trigo común,kg,10.81
2017-11-01,Noroeste,Arroz blanco simple,kg,19.81
2017-11-01,Noroeste,Fideos secos tipo guisero,500 g,13.96
2017-11-01,Noroeste,Carne picada común,kg,85.22
2017-11-01,Noroeste,Pollo entero,kg,39.99
2017-11-01,Noroeste,Aceite de girasol,"1,5 litros",54.96
2017-11-01,Noroeste,Leche fresca entera sachet,Litro,23.2
2017-11-01,Noroeste,Huevos de gallina,Docena,30.99
2017-11-01,Noroeste,Papa,kg,13.47
2017-11-01,Noroeste,Azúcar,kg,17.36
2017-11-01,Noroeste,Detergente líquido,750 cc,24.39
2017-11-01,Noroeste,Lavandina,1.000 cc,15.86
2017-11-01,Noroeste,Jabón de tocador,125 g,15.51
2017-11-01,Cuyo,Pan francés,kg,29.35
2017-11-01,Cuyo,Harina de trigo común,kg,10.51
2017-11-01,Cuyo,Arroz blanco simple,kg,20.81
2017-11-01,Cuyo,Fideos secos tipo guisero,500 g,18.42
2017-11-01,Cuyo,Carne picada común,kg,73.72
2017-11-01,Cuyo,Pollo entero,kg,39.76
2017-11-01,Cuyo,Aceite de girasol,"1,5 litros",51.37
2017-11-01,Cuyo,Leche fresca entera sachet,Litro,24.8
2017-11-01,Cuyo,Huevos de gallina,Docena,34.96
